adduser	3.158	all
amass	5.1.1-0kali3	amd64
apt	3.3.2+kali1	amd64
apt-utils	3.3.2+kali1	amd64
base-files	1:2026.3.0	amd64
base-passwd	3.6.8	amd64
bash	5.3-3+b1	amd64
bind9-dnsutils	1:9.20.27-1	amd64
bind9-host	1:9.20.27-1	amd64
bind9-libs	1:9.20.27-1	amd64
binutils	2.47-2	amd64
binutils-common	2.47-2	amd64
binutils-mingw-w64-base	2.45.90.20260125-1+13.3	amd64
binutils-mingw-w64-i686	2.45.90.20260125-1+13.3	amd64
binutils-mingw-w64-x86-64	2.45.90.20260125-1+13.3	amd64
binutils-x86-64-linux-gnu	2.47-2	amd64
bsdextrautils	2.42.2-2	amd64
bsdutils	1:2.42.2-2	amd64
bubblewrap	0.11.2-2	amd64
bundler	4.0.18-1	all
ca-certificates	20260601	all
clang-21	1:21.1.8-10	amd64
coreutils	9.10-1	amd64
crackmapexec	5.4.0-0kali7	all
curl	8.21.0-2	amd64
dash	0.5.12-12	amd64
debconf	1.5.92	all
debian-archive-keyring	2025.1	all
debianutils	5.23.2	amd64
diffutils	1:3.12-1	amd64
dirb	2.22+dfsg-7	amd64
dnsenum	1.3.2-1	all
dnsrecon	1.6.0-1	all
dpkg	1.23.7+kali1	amd64
enum4linux	0.9.1-0kali2	all
exploitdb	20260819-0kali1	all
ffuf	2.1.0-1+b11	amd64
fierce	1.6.0-2	all
findutils	4.11.0-2	amd64
firebird4.0-common	4.0.7.3271.ds6-1	all
firebird4.0-common-doc	4.0.7.3271.ds6-1	all
fontconfig	2.17.1-5	amd64
fontconfig-config	2.17.1-5	amd64
fonts-dejavu-core	2.37-9	all
fonts-dejavu-mono	2.37-9	all
fonts-font-awesome	7.3.0+dfsg-1	all
fonts-font-awesome-legacy	6-3	all
fonts-lato	2.015-1	all
freetds-common	1.5.5+ds-1	all
gcc-15-base	15.3.0-2	amd64
gcc-16-base	16.2.0-1	amd64
gcc-mingw-w64-base	15.2.0-12+28.3	amd64
gcc-mingw-w64-i686-win32	15.2.0-12+28.3	amd64
gcc-mingw-w64-i686-win32-runtime	15.2.0-12+28.3	amd64
gcc-mingw-w64-x86-64-win32	15.2.0-12+28.3	amd64
gcc-mingw-w64-x86-64-win32-runtime	15.2.0-12+28.3	amd64
git	1:2.53.0-1	amd64
git-man	1:2.53.0-1	all
glycin-loaders	2.1.5+ds-2	amd64
